"double_vaccines","pause","low_seroprev","trans_mult_UK","cur_UK","growth_UK","admits_averted","deaths_averted"
TRUE,TRUE,TRUE,1.5,0.3,1.02,16270.2649162954,1664.76326216398
TRUE,FALSE,TRUE,1.5,0.3,1.02,6506.43563165113,742.658055723827
FALSE,TRUE,TRUE,1.5,0.3,1.02,12174.8178355338,1222.37848334555
FALSE,FALSE,TRUE,1.5,0.3,1.02,0,0
TRUE,TRUE,FALSE,1.5,0.3,1.02,20144.8605341675,2081.22856598696
TRUE,FALSE,FALSE,1.5,0.3,1.02,9230.6651073516,1052.81128809993
FALSE,TRUE,FALSE,1.5,0.3,1.02,12687.4793671495,1290.76972643378
FALSE,FALSE,FALSE,1.5,0.3,1.02,0,0
TRUE,TRUE,TRUE,1.7,0.3,1.02,16796.8372852572,1715.79644517613
TRUE,FALSE,TRUE,1.7,0.3,1.02,6817.302894718,771.056502000945
FALSE,TRUE,TRUE,1.7,0.3,1.02,12496.8936578569,1258.07457921359
FALSE,FALSE,TRUE,1.7,0.3,1.02,0,0
TRUE,TRUE,FALSE,1.7,0.3,1.02,9102.25380753302,966.380877204774
TRUE,FALSE,FALSE,1.7,0.3,1.02,2994.6729854169,374.065691430013
FALSE,TRUE,FALSE,1.7,0.3,1.02,6954.96911333942,719.83735111585
FALSE,FALSE,FALSE,1.7,0.3,1.02,0,0
TRUE,TRUE,TRUE,1.5,0.5,1.02,19390.030350283,2031.81005832654
TRUE,FALSE,TRUE,1.5,0.5,1.02,7885.73777729775,917.78702971496
FALSE,TRUE,TRUE,1.5,0.5,1.02,14326.7529959253,1478.02241502281
FALSE,FALSE,TRUE,1.5,0.5,1.02,0,0
TRUE,TRUE,FALSE,1.5,0.5,1.02,20884.9729078543,2219.21886438139
TRUE,FALSE,FALSE,1.5,0.5,1.02,9429.42663630009,1112.52217447967
FALSE,TRUE,FALSE,1.5,0.5,1.02,13194.5501912537,1379.25181299496
FALSE,FALSE,FALSE,1.5,0.5,1.02,0,0
TRUE,TRUE,TRUE,1.7,0.5,1.02,19566.0528282285,2049.11896515237
TRUE,FALSE,TRUE,1.7,0.5,1.02,8168.37514800244,948.334994567649
FALSE,TRUE,TRUE,1.7,0.5,1.02,13982.514368454,1442.5420080301
FALSE,FALSE,TRUE,1.7,0.5,1.02,0,0
TRUE,TRUE,FALSE,1.7,0.5,1.02,20467.6463472216,2171.45550654897
TRUE,FALSE,FALSE,1.7,0.5,1.02,9233.05026199094,1086.68781979269
FALSE,TRUE,FALSE,1.7,0.5,1.02,12934.795909526,1351.26889319999
FALSE,FALSE,FALSE,1.7,0.5,1.02,0,0
TRUE,TRUE,TRUE,1.5,0.7,1.02,19313.4461218514,2059.18096374503
TRUE,FALSE,TRUE,1.5,0.7,1.02,7739.87396520439,923.650118411693
FALSE,TRUE,TRUE,1.5,0.7,1.02,14190.6932977878,1485.47920780209
FALSE,FALSE,TRUE,1.5,0.7,1.02,0,0
TRUE,TRUE,FALSE,1.5,0.7,1.02,9091.56547879538,1016.80312507067
TRUE,FALSE,FALSE,1.5,0.7,1.02,2742.07987615262,371.764457224243
FALSE,TRUE,FALSE,1.5,0.7,1.02,7030.39787755678,762.298358468237
FALSE,FALSE,FALSE,1.5,0.7,1.02,0,0
TRUE,TRUE,TRUE,1.7,0.7,1.02,25234.6666465415,2671.3195952719
TRUE,FALSE,TRUE,1.7,0.7,1.02,10978.6399070799,1280.33060378816
FALSE,TRUE,TRUE,1.7,0.7,1.02,17367.6151856945,1816.3733976249
FALSE,FALSE,TRUE,1.7,0.7,1.02,0,0
TRUE,TRUE,FALSE,1.7,0.7,1.02,9318.93985163432,1043.67805827832
TRUE,FALSE,FALSE,1.7,0.7,1.02,2952.92288589591,398.782078748744
FALSE,TRUE,FALSE,1.7,0.7,1.02,6990.21449637138,758.189218367861
FALSE,FALSE,FALSE,1.7,0.7,1.02,0,0
TRUE,TRUE,TRUE,1.5,0.3,1.03,19322.8014961705,1995.13693931862
TRUE,FALSE,TRUE,1.5,0.3,1.03,8216.54013365239,934.155068420921
FALSE,TRUE,TRUE,1.5,0.3,1.03,13825.8539240473,1408.97214804151
FALSE,FALSE,TRUE,1.5,0.3,1.03,0,0
TRUE,TRUE,FALSE,1.5,0.3,1.03,10444.4172067412,1121.08796554806
TRUE,FALSE,FALSE,1.5,0.3,1.03,3613.28920522379,451.527956551163
FALSE,TRUE,FALSE,1.5,0.3,1.03,7790.56580219015,817.105424590045
FALSE,FALSE,FALSE,1.5,0.3,1.03,0,0
TRUE,TRUE,TRUE,1.7,0.3,1.03,20453.2507346754,2113.62589750348
TRUE,FALSE,TRUE,1.7,0.3,1.03,9020.76567654,1019.8622717876
FALSE,TRUE,TRUE,1.7,0.3,1.03,14019.2235330861,1436.25908320753
FALSE,FALSE,TRUE,1.7,0.3,1.03,0,0
TRUE,TRUE,FALSE,1.7,0.3,1.03,11114.7817091786,1195.05890375733
TRUE,FALSE,FALSE,1.7,0.3,1.03,4025.68900405672,498.025297669603
FALSE,TRUE,FALSE,1.7,0.3,1.03,7972.48524325114,842.314684526511
FALSE,FALSE,FALSE,1.7,0.3,1.03,0,0
TRUE,TRUE,TRUE,1.5,0.5,1.03,20693.3705970005,2201.0784034462
TRUE,FALSE,TRUE,1.5,0.5,1.03,8578.98237336161,1010.87620020758
FALSE,TRUE,TRUE,1.5,0.5,1.03,14971.2267698333,1571.35845932616
FALSE,FALSE,TRUE,1.5,0.5,1.03,0,0
TRUE,TRUE,FALSE,1.5,0.5,1.03,23796.4138763058,2568.12521002243
TRUE,FALSE,FALSE,1.5,0.5,1.03,11268.6956419729,1336.23630187149
FALSE,TRUE,FALSE,1.5,0.5,1.03,14277.5935125842,1525.94008224753
FALSE,FALSE,FALSE,1.5,0.5,1.03,0,0
TRUE,TRUE,TRUE,1.7,0.5,1.03,23278.1892693449,2477.47028726927
TRUE,FALSE,TRUE,1.7,0.5,1.03,10107.8815823269,1182.33796788577
FALSE,TRUE,TRUE,1.7,0.5,1.03,15997.1860302935,1689.40000045559
FALSE,FALSE,TRUE,1.7,0.5,1.03,0,0
TRUE,TRUE,FALSE,1.7,0.5,1.03,9849.54227613324,1097.75446269642
TRUE,FALSE,FALSE,1.7,0.5,1.03,3266.58139011916,431.008035936484
FALSE,TRUE,FALSE,1.7,0.5,1.03,7207.32630149147,783.550734158343
FALSE,FALSE,FALSE,1.7,0.5,1.03,0,0
TRUE,TRUE,TRUE,1.5,0.7,1.03,21925.4170422465,2378.99915748831
TRUE,FALSE,TRUE,1.5,0.7,1.03,8937.67030067132,1081.72776619613
FALSE,TRUE,TRUE,1.5,0.7,1.03,15802.5245779054,1689.38980658384
FALSE,FALSE,TRUE,1.5,0.7,1.03,0,0
TRUE,TRUE,FALSE,1.5,0.7,1.03,24228.5011667851,2663.74297868972
TRUE,FALSE,FALSE,1.5,0.7,1.03,10938.0585269427,1336.92245616503
FALSE,TRUE,FALSE,1.5,0.7,1.03,15147.4670926168,1642.38242918814
FALSE,FALSE,FALSE,1.5,0.7,1.03,0,0
TRUE,TRUE,TRUE,1.7,0.7,1.03,28431.4605788642,3070.46704821602
TRUE,FALSE,TRUE,1.7,0.7,1.03,12827.9406575005,1521.28176598768
FALSE,TRUE,TRUE,1.7,0.7,1.03,18588.1238515359,1989.45869580899
FALSE,FALSE,TRUE,1.7,0.7,1.03,0,0
TRUE,TRUE,FALSE,1.7,0.7,1.03,8027.84799568781,922.580450953286
TRUE,FALSE,FALSE,1.7,0.7,1.03,2191.50749581736,311.688626362848
FALSE,TRUE,FALSE,1.7,0.7,1.03,6268.29804138557,699.035539748671
FALSE,FALSE,FALSE,1.7,0.7,1.03,0,0
TRUE,TRUE,TRUE,1.5,0.3,1.04,22222.7295261186,2327.0761844135
TRUE,FALSE,TRUE,1.5,0.3,1.04,9806.12464864066,1120.86684702723
FALSE,TRUE,TRUE,1.5,0.3,1.04,15438.5114783431,1605.99763793986
FALSE,FALSE,TRUE,1.5,0.3,1.04,0,0
TRUE,TRUE,FALSE,1.5,0.3,1.04,8248.35340484344,908.96337603842
TRUE,FALSE,FALSE,1.5,0.3,1.04,2624.04307012993,345.321072466628
FALSE,TRUE,FALSE,1.5,0.3,1.04,6119.58099503128,656.910731337673
FALSE,FALSE,FALSE,1.5,0.3,1.04,0,0
TRUE,TRUE,TRUE,1.7,0.3,1.04,23385.5487417826,2445.15306966282
TRUE,FALSE,TRUE,1.7,0.3,1.04,10830.038917312,1229.30504524552
FALSE,TRUE,TRUE,1.7,0.3,1.04,15063.5578426031,1573.22494572002
FALSE,FALSE,TRUE,1.7,0.3,1.04,0,0
TRUE,TRUE,FALSE,1.7,0.3,1.04,13414.2774930884,1451.2882295516
TRUE,FALSE,FALSE,1.7,0.3,1.04,5296.27929321071,646.217744887035
FALSE,TRUE,FALSE,1.7,0.3,1.04,9103.23802220749,976.016184386026
FALSE,FALSE,FALSE,1.7,0.3,1.04,0,0
TRUE,TRUE,TRUE,1.5,0.5,1.04,22356.7797893959,2401.29154010333
TRUE,FALSE,TRUE,1.5,0.5,1.04,9633.20007551182,1143.84809159196
FALSE,TRUE,TRUE,1.5,0.5,1.04,15473.6922558784,1639.87165105018
FALSE,FALSE,TRUE,1.5,0.5,1.04,0,0
TRUE,TRUE,FALSE,1.5,0.5,1.04,11200.2025078663,1254.79097078618
TRUE,FALSE,FALSE,1.5,0.5,1.04,3865.84960879208,508.731941056911
FALSE,TRUE,FALSE,1.5,0.5,1.04,8116.60879886914,887.357090765989
FALSE,FALSE,FALSE,1.5,0.5,1.04,0,0
TRUE,TRUE,TRUE,1.7,0.5,1.04,24830.5505223277,2674.60699729578
TRUE,FALSE,TRUE,1.7,0.5,1.04,11006.3888725241,1300.87486859981
FALSE,TRUE,TRUE,1.7,0.5,1.04,16533.7009544805,1771.94122218556
FALSE,FALSE,TRUE,1.7,0.5,1.04,0,0
TRUE,TRUE,FALSE,1.7,0.5,1.04,25293.1332294674,2792.1630418521
TRUE,FALSE,FALSE,1.7,0.5,1.04,12699.1061194019,1530.47922707911
FALSE,TRUE,FALSE,1.7,0.5,1.04,13887.9398077905,1528.92343746226
FALSE,FALSE,FALSE,1.7,0.5,1.04,0,0
TRUE,TRUE,TRUE,1.5,0.7,1.04,23461.4727291675,2568.2089231056
TRUE,FALSE,TRUE,1.5,0.7,1.04,9624.37122432899,1172.39885270218
FALSE,TRUE,TRUE,1.5,0.7,1.04,16847.1330309141,1820.69761525053
FALSE,FALSE,TRUE,1.5,0.7,1.04,0,0
TRUE,TRUE,FALSE,1.5,0.7,1.04,9983.06723216486,1148.14908108137
TRUE,FALSE,FALSE,1.5,0.7,1.04,3006.57439486476,418.583703917353
FALSE,TRUE,FALSE,1.5,0.7,1.04,7600.87014647623,850.026537958154
FALSE,FALSE,FALSE,1.5,0.7,1.04,0,0
TRUE,TRUE,TRUE,1.7,0.7,1.04,24661.0671195265,2699.28014631526
TRUE,FALSE,TRUE,1.7,0.7,1.04,10407.6052551218,1263.82621292211
FALSE,TRUE,TRUE,1.7,0.7,1.04,17086.1693379788,1850.59184753725
FALSE,FALSE,TRUE,1.7,0.7,1.04,0,0
TRUE,TRUE,FALSE,1.7,0.7,1.04,8462.8057848133,981.753394149182
TRUE,FALSE,FALSE,1.7,0.7,1.04,2334.12351065993,333.735427948279
FALSE,TRUE,FALSE,1.7,0.7,1.04,6550.38397529263,738.831805915732
FALSE,FALSE,FALSE,1.7,0.7,1.04,0,0
